Name,Frequency,Gender
Камилла,761,f
Сеpгей,761,m
Лиля,760,f
Замира,760,f
Мамед,758,m
Эллина,756,f
Эльнур,750,m
Ида,748,f
Данияр,746,m
Гамзат,746,m
Оганнес,741,m
Микаил,741,m
Мерген,741,m
Гегам,740,m
Овик,739,m
Ляля,739,f
Мехман,737,m
Сюзанна,736,f
Резида,733,f
Анжелла,733,f
Демьян,731,m
Салих,730,m
Жаргал,730,m
Ахмад,729,m
Володя,722,m
Хачик,721,m
Катерина,721,f
Батыр,720,m
Капитолина,720,f
Серик,720,m
Савелий,719,m
Радион,719,m
Асламбек,719,m
Арменак,717,m
Тофик,714,m
Саргылана,714,f
Гоча,713,m
Имран,709,m
Ваграм,708,m
Амиран,707,m
Руфат,706,m
Гурам,706,m
Хамид,706,m
Тамила,701,f
Рушания,697,f
Каролина,696,f
Равшан,696,m
Найля,695,f
Чингис,695,m
Мариам,692,f
Бэлла,692,f
Тихон,692,m
Прокопий,690,m
Айна,689,f
Рафкат,689,m
Камила,686,f
Видади,685,m
Марфа,684,f
Дилшод,682,m
Натиг,681,m
Юрик,678,m
Валерьян,677,m
Фируза,677,f
Илшат,676,m
Августа,674,f
Абубакар,673,m
Капиталина,673,f
Зайтуна,671,f
Зульфира,671,f
Симон,670,m
Ахат,670,m
Юлиан,667,m
Искандар,667,m
Аделя,664,f
Герасим,663,m
Рашад,661,m
Айсылу,660,f
Наида,658,f
Христина,654,f
Мусса,654,m
Вачаган,653,m
Газинур,652,m
Ваагн,652,m
Мирон,651,m
Шакир,650,m
Файруза,649,f
Эрнст,648,m
Улугбек,645,m
Рустям,644,m
Жан,642,m
Раиля,642,f
Бадри,642,m
Славик,640,m
Нана,638,f
Заза,638,m
Адольф,638,m
Разия,633,f
Илгар,632,m
Назира,629,f
Юсиф,627,m
Лолита,627,f
Илдус,626,m
Яшар,626,m
Ира,623,f
Мкртич,622,m
Туяна,618,f
Виталия,616,f
Карлен,616,m
Лиза,616,f
Мубариз,615,m
Радмила,614,f
Махир,614,m
Арамаис,614,m
Тамази,613,m
Асиф,613,m
Чулпан,609,m
Халид,609,m
Илхам,606,m
Варужан,606,m
Мамука,605,m
Лола,604,f
Зиннур,604,m
Мераб,603,m
Джульетта,602,f
Вильдан,602,m
Сардана,602,f
Орхан,601,u
Норик,600,m
Хусен,600,m
Раджаб,599,m
Эльмар,597,m
Магамед,597,m
Шота,596,m
Аким,594,m
Мхитар,594,m
Октябрина,593,f
Абакар,593,m
Мушег,592,m
Альвина,591,f
Клим,590,m
Махач,590,m
Адиль,588,m
Микаел,586,m
Керим,584,m
Нино,584,f
Реваз,582,m
Платон,581,m
Насима,581,f
Гела,580,m
Рада,579,f
Фарход,578,m
Гульмира,578,f
Камал,569,m
Даниэль,568,m
Рауль,568,m
Абдул,566,m
Рафиль,566,m
Джамбулат,566,m
Мехмет,565,m
Джавид,561,m
Эльшад,560,m
Леся,560,f
Кайрат,560,m
Рахим,559,m
Рафаел,559,m
Раисат,558,f
Сагит,557,m
Аделина,556,f
Седа,555,f
Парвиз,554,m
Кадрия,554,f
Зара,554,f
Карэн,553,m
Ани,552,f
Дилара,552,f
Фаррух,552,m
Равил,552,m
Бекхан,552,m
Разиля,551,f
Радиф,550,m
Баграт,547,m
Магомедгаджи,547,m
Наргиза,546,f
Кузьма,545,m
Махмут,545,m
Давит,543,m
Азад,543,m
Нафиса,543,f
Ерванд,542,m
Ратмир,541,m
Рудик,540,m
Намиг,540,m
Бэла,539,f
Физули,539,m
Стефан,538,m
Эльнара,536,f
Леон,536,m
Станислава,533,f
Василя,530,f
Фанил,528,m
Джейхун,527,m
Арзу,526,f
Сария,525,f
Гумар,525,m
Альмир,525,m
Лида,524,f
Эркин,524,m
Зиновий,524,m
Гавриил,524,m
Хабиб,524,m
Снежанна,522,f
Магомедали,521,m
Юлай,521,m
Радислав,521,m
Мирослава,519,f
Мераби,518,m
Ландыш,517,f
Илларион,516,m
Ион,514,m
Гульчачак,514,f
Вусал,512,u
Гаяз,510,m
Аветик,509,m
Зафар,509,m
Амин,509,m
Асет,509,m
Саян,509,m
Нил,508,m
Отари,505,m
Камран,505,m
Виталина,504,f
Петрос,504,m
Лазарь,503,m
Сахиб,503,m
Рузиля,502,f
Арби,502,m
Вагиз,499,m
Вилен,497,m
Фаиг,497,m
Элиза,496,f
Андроник,496,m
Аюб,494,m
Серго,493,m
Меружан,493,m
Асан,492,m
Фархат,492,m
Гулия,491,f
Ансар,489,m
Рахман,488,m
Зинур,488,m
Изольда,487,f
Чермен,487,m
Амирхан,487,m
Томас,486,m
Малхаз,486,m
Леонард,486,m
Акрам,483,m
Роланд,483,m
Дамира,483,f
Шалва,483,m
Турал,481,m
Алексан,481,m
Исаак,480,m
Севак,479,m
Ирена,479,f
Мунира,479,f
Оскар,478,m
Смбат,477,m
Аэлита,477,f
Нугзар,477,m
Вреж,477,m
Юлианна,477,f
Хамза,477,m
Батраз,476,m
Жора,476,m
Юнир,475,m
Мухадин,475,m
Андpей,475,m
Зайнаб,474,f
Халимат,473,f
Гафур,473,m
Залим,472,m
Касим,472,m
Джамиль,472,m
Анвер,470,m
Октай,469,m
Фирдаус,468,m
Нодар,466,m
Сеймур,465,m
Загир,465,m
Ишхан,464,m
Савва,464,m
Нурмагомед,463,m
Гия,463,m
Фидан,462,m
Лаврентий,461,m
Нвер,461,m
Завен,459,m
Гали,459,m
Сухроб,458,m
Бислан,458,m
Манана,457,f
Хизир,457,m
Нателла,457,f
Муаед,456,m
Наум,455,m
Зифа,455,f
Хасанби,455,m
Ван,454,m
Халим,454,m
Мирза,451,m
Эльвин,450,m
Зимфира,450,f
Лана,449,f
Илгиз,449,m
Хафиз,449,m
Моисей,447,m
Викентий,446,m
Залимхан,445,m
Абрам,445,m
Владимр,445,m
Шерзод,443,m
Алекс,443,m
Нодари,442,m
Рафиг,442,m
Баатр,442,m
Абдурашид,441,m
Нафис,441,m
Ефросинья,441,f
Мидхат,440,m
Раушан,439,m
Фикрет,438,m
Фагим,438,m
Мударис,438,m
Марлен,437,m
Мариана,437,f
Гульфира,437,f
Маис,436,m
Амаяк,436,m
Назия,435,f
Багаудин,435,m
Саяна,434,f
Лейля,434,f
Хуршед,433,m
Намик,433,m
Адлан,433,m
Араз,429,m
Гульнар,429,f
Амбарцум,429,m
Сервер,428,m
Хаким,428,m
Расуль,428,m
Расих,428,m
Ханиф,424,m
Анаида,424,f
Баходир,424,m
Елисей,423,m
Нерсес,423,m
Наби,423,m
Байрам,422,m
Ваник,422,m
Бадма,422,m
Фуат,422,m
Эрика,421,f
Ралиф,420,m
Адил,417,m
Акмал,417,m
Дауд,417,m
Мухаммад,417,m
Артуш,416,m
Давыд,416,m
Рагим,415,m
Арсентий,415,m
Важа,414,m
Исса,413,m
Грайр,412,m
Альфир,412,m
Флюза,411,f
Ранис,411,m
Демид,411,m
Тариел,411,m
Мохаммад,410,u
Hиколай,410,m
Винер,409,m
Любомир,409,m
Макка,409,f
Флора,408,f
Инсаф,408,m
Павлина,408,f
Агаси,408,m
Ален,407,m
Паата,407,m
Айталина,407,f
Андриян,406,m
Рая,406,f
Тереза,406,f
Христофор,406,m
Бато,406,m
Сережа,405,m
Ника,403,f
Ен,403,m
Разиф,402,m
Самсон,401,m
Ованес,401,m
Ада,401,f
Шахбан,400,m
Зарета,400,f
Эльвир,400,m
Фируз,399,m
Артавазд,399,m
Райса,399,f
Лева,398,m
Сара,398,f
Фануза,397,f
Иванна,396,f
Трофим,393,m
Юpий,393,m
Нурбек,392,m
Васил,392,m
Нурислам,391,m
Гамид,391,m
Дана,391,f
Валерик,390,m
Фатих,390,m
Алдар,390,m
Айвар,389,m
Казим,389,m
Каро,388,m
Соня,388,f
Арменуи,388,f
Анджела,388,f
Даниял,387,m
Виген,387,m
Азрет,386,m
Миша,386,m
Коба,386,m
Карл,385,m
Билал,385,m
Сталина,384,f
Климентий,383,m
Аяз,383,m
Этибар,382,m
Габил,382,m
Гульсум,382,f
Рида,382,f
Мовсар,382,m
Мариям,381,f
Салима,381,f
Хизри,378,m
Мурадин,378,m
Мери,376,f
Диля,376,f
Фаузия,376,f
Зина,375,f
Нона,375,f
Винера,375,f
Алесандр,375,m
Лечи,374,m
Темирлан,373,m
Айдер,372,m
Адиля,372,f
Джамшед,371,m
Айслу,371,f
Амалия,370,f
Музаффар,369,m
Муртазали,369,m
Рузана,369,f
Генрик,369,m
Мамикон,369,m
Владик,368,m
Ильсияр,367,f
Вэй,367,u
Ринад,367,m
Гриша,366,m
Гузаль,365,f
Фидаиль,364,m
Гарий,364,m
Грачья,363,m
Зульфат,363,m
Флера,363,f
Петимат,362,f
Манук,361,m
Аветис,360,m
Овсеп,360,m
Мадинат,359,f
Бахтиер,359,m
Фларит,359,m
Аревик,358,f
Сакинат,357,f
Рубик,357,m
Шамсудин,357,m
Нуне,356,f
Рена,356,f
Таир,356,m
Агафья,356,f
Сусана,354,f
Ирада,354,f
Зариф,354,m
Исмагил,354,m
Джемал,353,m
Кахабер,353,m
Эмир,353,m
Ризида,353,f
Мисак,352,m
Сауле,352,f
Виолета,352,f
Роксана,351,f
Рузиль,351,m
Загит,351,m
Анис,351,m
Гумер,351,m
Кристине,350,f
Захид,350,m
Айказ,350,m
Айнура,350,f
Гузяль,350,f
Суфия,350,f
Разина,349,f
Игоpь,349,m
Исхак,348,m
Ляйля,347,f
Саак,347,m
Жанетта,346,f
Вагаршак,346,m
Радис,345,m
Феруза,344,f
Фоат,344,m
Сирануш,344,f
Лала,343,f
Бахром,343,m
Васиф,342,m
Гусен,342,m
Фаргат,342,m
Акулина,341,f
Татевик,341,f
Сона,341,f
Грачик,341,m
Далер,340,m
Сос,340,m
Фанур,340,m
